,Literacy,Schooling,Per_Cap_Inc_2017,GINI,Medical_Exp,Doctors,Hosp_Beds,Urbanization,Obseity,Infant_Mort,Mort_Under_5,Life_Exp,Adj_LE,Mx,lnMx,lnPCI
Literacy,1.0,0.7518061354342768,0.5081988819638086,-0.18573448911505933,0.030920403157307267,0.6722691711748237,0.4467758311708552,0.5749002260928292,0.5254545251823096,-0.8465530494793788,-0.865505499506264,0.7587012243008358,0.6921450230059222,0.4839975741235941,0.7228283295093455,0.7417891417359843
Schooling,0.7518061354342768,1.0,0.6201409199017524,-0.30558843261309393,0.1585859837818788,0.7003994823382107,0.37280933827602963,0.6590362586828897,0.5548735863091465,-0.7770803121798733,-0.7703648798135008,0.7703728024575477,0.7319610279680754,0.6641941023673269,0.8060731308881776,0.779496458844251
Per_Cap_Inc_2017,0.5081988819638086,0.6201409199017524,1.0,-0.31143057879522895,0.07163411900742611,0.5681130437198458,0.25886286971222694,0.6679046066768479,0.5134541502581476,-0.5980918171961291,-0.5704659917910978,0.6850371981006632,0.6826701931946562,0.8218041273115885,0.80991566396462,0.8517767499739032
GINI,-0.18573448911505933,-0.30558843261309393,-0.31143057879522895,1.0,-0.19356564266713006,-0.4861794323926035,-0.30513989859470836,-0.09609037865059838,-0.07307967126007972,0.30381319603642404,0.331416253990869,-0.4020102949862726,-0.40526367536028574,-0.32778539216337726,-0.29190828974916955,-0.28447695831577247
Medical_Exp,0.030920403157307267,0.1585859837818788,0.07163411900742611,-0.19356564266713006,1.0,0.21701396941596454,0.2259311927250935,0.16585275743700778,0.17989979697041383,-0.09392552230236834,-0.0930008587472753,0.12971677833737644,0.1282053819290679,0.40574894253688365,0.32183748593004896,0.05020940926562395
Doctors,0.6722691711748237,0.7003994823382107,0.5681130437198458,-0.4861794323926035,0.21701396941596454,1.0,0.5301350725005065,0.5959298769905521,0.510380187521301,-0.713330850540824,-0.703944594535021,0.7211017265489236,0.6887484903456803,0.626830088383548,0.736934663372124,0.6794669887001294
Hosp_Beds,0.4467758311708552,0.37280933827602963,0.25886286971222694,-0.30513989859470836,0.2259311927250935,0.5301350725005065,1.0,0.2581148313486793,0.18771348642733554,-0.4178473853092684,-0.3897251353617572,0.332381329396582,0.2912810840260219,0.3163461715810657,0.41732819567786017,0.34731889922610054
Urbanization,0.5749002260928292,0.6590362586828897,0.6679046066768479,-0.09609037865059838,0.16585275743700778,0.5959298769905521,0.2581148313486793,1.0,0.7050455672861561,-0.6213646964165406,-0.6008204078488342,0.6853473850314201,0.6772022169262812,0.6018414121029215,0.7503675426799852,0.7569406030839885
Obseity,0.5254545251823096,0.5548735863091465,0.5134541502581476,-0.07307967126007972,0.17989979697041383,0.510380187521301,0.18771348642733554,0.7050455672861561,1.0,-0.6346978743010304,-0.6099789163854364,0.5949585573314683,0.5613513500916664,0.4731839849987152,0.6523371714374409,0.6409133276240404
Infant_Mort,-0.8465530494793788,-0.7770803121798733,-0.5980918171961291,0.30381319603642404,-0.09392552230236834,-0.713330850540824,-0.4178473853092684,-0.6213646964165406,-0.6346978743010304,1.0,0.9408985534749543,-0.9295380064275743,-0.885750976701789,-0.5805938003796396,-0.7908668486373853,-0.7940240016573975
Mort_Under_5,-0.865505499506264,-0.7703648798135008,-0.5704659917910978,0.331416253990869,-0.0930008587472753,-0.703944594535021,-0.3897251353617572,-0.6008204078488342,-0.6099789163854364,0.9408985534749543,1.0,-0.8926256390401134,-0.8196788075248139,-0.5489256345404909,-0.7721031855204443,-0.7754055458308944
Life_Exp,0.7587012243008358,0.7703728024575477,0.6850371981006632,-0.4020102949862726,0.12971677833737644,0.7211017265489236,0.332381329396582,0.6853473850314201,0.5949585573314683,-0.9295380064275743,-0.8926256390401134,1.0,0.9896142747874052,0.677758319792556,0.8235778235815313,0.8244926213523542
Adj_LE,0.6921450230059222,0.7319610279680754,0.6826701931946562,-0.40526367536028574,0.1282053819290679,0.6887484903456803,0.2912810840260219,0.6772022169262812,0.5613513500916664,-0.885750976701789,-0.8196788075248139,0.9896142747874052,1.0,0.6789523229054945,0.7967995366081515,0.7996892849145202
Mx,0.4839975741235941,0.6641941023673269,0.8218041273115885,-0.32778539216337726,0.40574894253688365,0.626830088383548,0.3163461715810657,0.6018414121029215,0.4731839849987152,-0.5805938003796396,-0.5489256345404909,0.677758319792556,0.6789523229054945,1.0,0.832959985222,0.7480230195032848
lnMx,0.7228283295093455,0.8060731308881776,0.80991566396462,-0.29190828974916955,0.32183748593004896,0.736934663372124,0.41732819567786017,0.7503675426799852,0.6523371714374409,-0.7908668486373853,-0.7721031855204443,0.8235778235815313,0.7967995366081515,0.832959985222,1.0,0.9447181326233405
lnPCI,0.7417891417359843,0.779496458844251,0.8517767499739032,-0.28447695831577247,0.05020940926562395,0.6794669887001294,0.34731889922610054,0.7569406030839885,0.6409133276240404,-0.7940240016573975,-0.7754055458308944,0.8244926213523542,0.7996892849145202,0.7480230195032848,0.9447181326233405,1.0
