Afghanistan,104.3
Albania,10.8
Algeria,17.6
American Samoa,9.9
Andorra,3.5
Angola,62.3
Anguilla,3.3
Antigua and Barbuda,11.1
Argentina,9
Armenia,11.5
Aruba,9.8
Australia,3.1
Austria,3.3
Azerbaijan,21.3
"Bahamas, The",10.6
Bahrain,8.3
Bangladesh,28.3
Barbados,9.6
Belarus,3.5
Belgium,3.3
Belize,11.2
Benin,58.7
Bermuda,2.5
Bhutan,27
Bolivia,32.2
Bosnia and Herzegovina,5.2
Botswana,26.8
Brazil,15.9
British Virgin Islands,11
Brunei,8.8
Bulgaria,8.1
Burkina Faso,52
Burma,31.7
Burundi,40.1
Cabo Verde,19.7
Cambodia,43.7
Cameroon,51.5
Canada,4.3
Cayman Islands,5.5
Central African Republic,80.6
Chad,68.6
Chile,6.2
China,11.4
Christmas Island,#VALUE!
Cocos (Keeling) Islands,#VALUE!
Colombia,12.3
Comoros,55
"Congo, Democratic Republic of the",64.5
"Congo, Republic of the",50.7
Cook Islands,11.9
Costa Rica,7.5
Cote d'Ivoire,59.1
Croatia,8.6
Cuba,4.3
Curacao,7
Cyprus,7.4
Czechia,2.6
Denmark,3.2
Djibouti,41.6
Dominica,9.7
Dominican Republic,20.9
Ecuador,15
Egypt,17.1
El Salvador,11.8
Equatorial Guinea,59.7
Eritrea,43.3
Estonia,3.7
Eswatini,42.8
Ethiopia,35.8
European Union,3.7
Falkland Islands (Islas Malvinas),#VALUE!
Faroe Islands,5.1
Fiji,8.8
Finland,2.5
France,3.2
French Polynesia,4.5
Gabon,30.4
"Gambia, The",54.9
Gaza Strip,14.9
Georgia,13.8
Germany,3.3
Ghana,32.1
Gibraltar,5.6
Greece,3.7
Greenland,8.3
Grenada,8.9
Guam,10.8
Guatemala,21.8
Guernsey,3.3
Guinea,52.4
Guinea-Bissau,51.9
Guyana,27.6
Haiti,42.6
Honduras,14.6
Hong Kong,2.7
Hungary,4.7
Iceland,2.1
India,35.4
Indonesia,20.4
Iran,14.9
Iraq,19.5
Ireland,3.6
Isle of Man,3.9
Israel,3.3
Italy,3.2
Jamaica,11.6
Japan,1.9
Jersey,3.6
Jordan,12.8
Kazakhstan,17.9
Kenya,29.8
Kiribati,29.2
"Korea, North",20
"Korea, South",3
Kosovo,30.2
Kuwait,6.5
Kyrgyzstan,23.3
Laos,45.6
Latvia,5
Lebanon,6.8
Lesotho,41.5
Liberia,47.4
Libya,11.5
Liechtenstein,4.2
Lithuania,3.8
Luxembourg,3.3
Macau,3.1
Madagascar,37.8
Malawi,39.5
Malaysia,11.4
Maldives,19.8
Mali,64
Malta,4.6
Marshall Islands,17.4
Mauritania,47.9
Mauritius,9
Mexico,10.7
"Micronesia, Federated States of",17.8
Moldova,11.1
Monaco,1.9
Mongolia,19.2
Montenegro,3.4
Montserrat,11.1
Morocco,18.2
Mozambique,64.7
Namibia,31.4
Nauru,7.4
Nepal,25.1
Netherlands,3.5
New Caledonia,5
New Zealand,3.5
Nicaragua,16.5
Niger,67.7
Nigeria,59.8
Niue,#VALUE!
Norfolk Island,#VALUE!
North Macedonia,7.4
Northern Mariana Islands,11.5
Norway,2.5
Oman,11.7
Pakistan,52.3
Palau,9.8
Panama,9.1
Papua New Guinea,33.2
Paraguay,16.9
Peru,16.7
Philippines,20
Pitcairn Islands,#VALUE!
Poland,4.3
Portugal,2.6
Puerto Rico,6
Qatar,5.7
Romania,8.7
Russia,6.5
Rwanda,28
Saint Barthelemy,5.6
"Saint Helena, Ascension, and Tristan da Cunha",12
Saint Kitts and Nevis,7.8
Saint Lucia,10.1
Saint Martin,5.6
Saint Pierre and Miquelon,6.1
Saint Vincent and the Grenadines,11
Samoa,17
San Marino,4.2
Sao Tome and Principe,41.7
Saudi Arabia,11.3
Senegal,45.7
Serbia,5.6
Seychelles,9.3
Sierra Leone,63.6
Singapore,2.3
Sint Maarten,7.5
Slovakia,4.9
Slovenia,1.7
Solomon Islands,13.4
Somalia,89.5
South Africa,27.8
South Sudan,69.9
Spain,3.2
Sri Lanka,7.8
Sudan,41.8
Suriname,22.1
Svalbard,#VALUE!
Sweden,2.6
Switzerland,3.5
Syria,16.5
Taiwan,4.2
Tajikistan,28.8
Tanzania,36.4
Thailand,8.6
Timor-Leste,31.7
Togo,38.5
Tokelau,#VALUE!
Tonga,10.3
Trinidad and Tobago,20.1
Tunisia,11
Turkey,15.8
Turkmenistan,30.8
Turks and Caicos Islands,9.3
Tuvalu,26.6
Uganda,32.6
Ukraine,7.4
United Arab Emirates,5.3
United Kingdom,4.1
United States,5.3
Uruguay,7.8
Uzbekistan,16.3
Vanuatu,12.7
Venezuela,27.9
Vietnam,15.7
Virgin Islands,7.4
Wallis and Futuna,4.2
West Bank,12.8
Western Sahara,47.9
World,30.8
Yemen,41.9
Zambia,56
Zimbabwe,30.3
