Country,Population,Literacy,Schooling,Per_Cap_Inc_2017,GINI,Medical_Exp,Doctors,Hosp_Beds,Religion,Sect,Urbanization,Obseity,Infant_Mort,Mort_Under_5,Life_Exp
SDS,11062113,26.8,0,1600,46,2.5,0.41,0.8,Mixed,N/A,20.2,6.6,69.9,98.6,55.5
AFG,38041754,31.7,10,2000,27.8,10.2,0.28,0.5,Muslim,Sunni,26,5.5,104.3,62.3,52.8
ALB,2880917,97.2,15,12500,29,6.7,1.2,2.9,Muslim,N/A,62.1,21.7,10.8,8.8,79
DZA,43053054,75.1,14,15200,35.3,6.6,1.83,1.9,Muslim,Sunni,73.7,27.4,17.6,23.5,77.5
AGO,31825295,66,10,6800,42.7,2.9,0.21,0.8,Christian,Catholic,66.8,8.2,62.3,77.2,61.3
ARG,44780677,99.1,18,20900,41.7,7.5,3.96,5,Christian,Catholic,92.1,28.3,9,9.9,77.8
ARM,2957731,99.7,13,9500,31.5,9.9,2.9,4.2,Christian,N/A,63.3,20.2,11.5,12.4,75.6
AUS,25203198,99,23,50400,30.3,9.3,3.59,3.8,Christian,N/A,86.2,29,3.1,3.7,82.7
AUT,8955102,99,16,50000,30.5,10.4,5.14,7.6,Christian,Catholic,58.7,20.1,3.3,3.5,81.9
AZE,10047718,99.8,13,17500,33.7,6.9,3.45,4.7,Muslim,Shia,56.4,19.9,21.3,21.5,73.6
BHR,1641172,86.5,15,49000,#N/A,4.9,0.93,2,Muslim,N/A,89.5,29.8,8.3,7.1,79.4
BGD,163046161,73.9,11,4200,32.1,2.4,0.53,0.8,Muslim,N/A,38.2,3.6,28.3,30.2,74.2
BLR,9452411,99.6,15,18900,26.5,6.3,4.08,11,Christian,Orthodox,79.5,24.5,3.5,3.4,73.8
BEL,11539328,99,20,46600,25.9,10,3.32,6.2,Christian,Catholic,98.1,22.1,3.3,3.7,81.4
BEN,11801151,32.9,13,2300,36.5,3.9,0.16,0.5,Mixed,N/A,48.4,9.6,58.7,93,61.4
BOL,11513100,92.5,14,7600,47,6.9,1.61,1.1,Christian,Catholic,70.1,20.2,32.2,26.8,70.4
BIH,3301000,97,14,12800,33.8,9.2,1.89,3.5,Muslim,N/A,49,17.9,5.2,5.8,77.5
BWA,2303697,87.7,13,17000,60.5,5.5,0.37,1.8,Christian,N/A,70.9,18.9,26.8,36.5,64.8
BRA,211049527,92,15,15600,49,11.8,2.15,2.2,Christian,Catholic,87.1,22.1,15.9,14.4,74.7
BGR,7000119,98.4,15,21800,40.2,8.2,3.99,6.8,Christian,Orthodox,75.7,25,8.1,7.1,75
BFA,20321378,34.6,9,1900,39.5,6.8,0.06,0.4,Muslim,N/A,30.6,5.6,52,76.4,62.7
MMR,54045420,75.6,10,6300,38.1,5.1,0.86,0.9,Buddhist,N/A,30.6,5.8,31.7,46.2,69.3
BDI,10864245,61.6,11,700,42.4,6.2,0.05,0.8,Christian,Catholic,13.7,5.4,40.1,58.5,66.7
KHM,16486542,80.5,11,4000,37.9,6.1,0.17,0.8,Buddhist,N/A,24.2,3.9,43.7,28,65.9
CMR,25876380,71.3,13,3700,44.6,4.7,0.09,1.3,Christian,N/A,57.6,11.4,51.5,76.1,62.3
CAN,37411047,99,16,48400,32.1,10.5,2.61,2.7,Christian,N/A,81.6,29.4,4.3,5,83.4
CAF,4745185,36.8,7,700,43.6,4.3,0.06,1,Christian,N/A,42.2,7.5,80.6,116.5,54.2
TCD,15946876,22.3,8,2300,43.3,4.5,0.05,0.4,Muslim,N/A,23.5,6.1,68.6,119,58.3
CHL,18952038,96.9,16,24600,50.5,8.5,1.08,2.2,Christian,Catholic,87.7,28,6.2,7.2,79.4
CHN,1433783686,96.8,14,8800,46.5,5,1.79,4.2,None,N/A,61.4,6.2,11.4,8.6,76.1
COL,50339443,94.7,15,14400,51.1,5.9,2.08,1.5,Christian,Catholic,81.4,22.3,12.3,14.2,76.6
COD,86790567,77,10,800,42.1,3.9,0.09,0.8,Christian,N/A,45.6,6.7,64.5,88.1,61
COG,5380508,79.3,11,6800,48.9,4.6,0.12,1.6,Christian,N/A,67.8,9.6,50.7,50.1,61.3
CRI,5047561,97.4,15,16900,48.5,7.6,1.15,1.1,Christian,Catholic,80.8,25.7,7.5,8.8,79.2
CIV,25716544,43.9,10,3900,41.5,4.4,0.23,0.4,Muslim,N/A,51.7,10.3,59.1,80.9,61.3
HRV,4130304,99.1,15,24700,30.8,7.2,3.13,5.6,Christian,Catholic,57.6,24.4,8.6,4.7,76.7
CUB,11333483,99.8,14,12300,#N/A,12.2,8.19,5.2,Christian,N/A,77.2,24.6,4.3,5,79.2
CYP,1179551,98.7,15,37200,34.8,6.9,1.95,3.4,Christian,Orthodox,66.8,21.8,7.4,2.4,79.3
CZE,10689209,99,17,20400,25.9,7.7,3.5,6.63,None,N/A,74.1,26,2.6,3.4,79.3
DNK,5771876,99,19,50100,29,10.4,4.46,2.5,Christian,Protestant,88.1,19.7,3.2,4.2,81.2
DOM,10738958,93.8,14,17000,47.1,6.2,1.56,1.6,Christian,Catholic,82.5,27.6,20.9,28.8,72
ECU,17373662,94.4,16,11500,45.9,8.4,2.05,1.5,Christian,Catholic,64.2,19.9,15,14.2,77.5
