Afghanistan,2000
Albania,12500
Algeria,15200
American Samoa,11200
Andorra,49900
Angola,6800
Anguilla,12200
Antigua and Barbuda,26400
Argentina,20900
Armenia,9500
Aruba,37500
Australia,50400
Austria,50000
Azerbaijan,17500
"Bahamas, The",32400
Bahrain,49000
Bangladesh,4200
Barbados,18600
Belarus,18900
Belgium,46600
Belize,8300
Benin,2300
Bermuda,99400
Bhutan,9000
Bolivia,7600
Bosnia and Herzegovina,12800
Botswana,17000
Brazil,15600
British Virgin Islands,34200
Brunei,78900
Bulgaria,21800
Burkina Faso,1900
Burma,6300
Burundi,700
Cabo Verde,7000
Cambodia,4000
Cameroon,3700
Canada,48400
Cayman Islands,43800
Central African Republic,700
Chad,2300
Chile,24600
China,1
Colombia,14400
Comoros,1600
"Congo, Democratic Republic of the",800
"Congo, Republic of the",6800
Cook Islands,16700
Costa Rica,16900
Cote d'Ivoire,3900
Croatia,24700
Cuba,12300
Curacao,15000
Cyprus,37200
Czechia,35500
Denmark,50100
Djibouti,3600
Dominica,11000
Dominican Republic,17000
Ecuador,11500
Egypt,12700
El Salvador,8000
Equatorial Guinea,37400
Eritrea,1600
Estonia,31700
Eswatini,10100
Ethiopia,2200
European Union,40900
Falkland Islands (Islas Malvinas),70800
Faroe Islands,40000
Fiji,9800
Finland,44500
France,44100
French Polynesia,17000
Gabon,18100
"Gambia, The",2600
Gaza Strip,#VALUE!
Georgia,10700
Germany,50800
Ghana,4700
Gibraltar,61700
Greece,27800
Greenland,41800
Grenada,15100
Guam,35600
Guatemala,8200
Guernsey,52500
Guinea,2200
Guinea-Bissau,1900
Guyana,8100
Haiti,1800
Honduras,5600
Hong Kong,6
Hungary,29600
Iceland,52200
India,7200
Indonesia,12400
Iran,20100
Iraq,16700
Ireland,73200
Isle of Man,84600
Israel,36400
Italy,38200
Jamaica,9200
Japan,42900
Jersey,56600
Jordan,9200
Kazakhstan,26300
Kenya,3500
Kiribati,2000
"Korea, North",1700
"Korea, South",39500
Kosovo,10900
Kuwait,65800
Kyrgyzstan,3700
Laos,7400
Latvia,27700
Lebanon,19600
Lesotho,3300
Liberia,1300
Libya,9600
Liechtenstein,139100
Lithuania,32400
Luxembourg,105100
Macau,12
Madagascar,1600
Malawi,1200
Malaysia,29100
Maldives,19200
Mali,2200
Malta,41900
Marshall Islands,3600
Mauritania,4500
Mauritius,22300
Mexico,19900
"Micronesia, Federated States of",3400
Moldova,6700
Monaco,115700
Mongolia,1
Montenegro,17800
Montserrat,34000
Morocco,8600
Mozambique,1300
Namibia,11200
Nauru,12300
Nepal,2700
Netherlands,53900
New Caledonia,31100
New Zealand,39000
Nicaragua,5900
Niger,1200
Nigeria,5900
Niue,5800
North Macedonia,14900
Northern Mariana Islands,24500
Norway,72100
Oman,46000
Pakistan,5400
Palau,14700
Panama,25400
Papua New Guinea,3700
Paraguay,12800
Peru,13500
Philippines,8400
Poland,29600
Portugal,30500
Puerto Rico,39400
Qatar,124100
Romania,24600
Russia,27900
Rwanda,2100
"Saint Helena, Ascension, and Tristan da Cunha",#VALUE!
Saint Kitts and Nevis,28200
Saint Lucia,14400
Saint Martin,19300
Saint Pierre and Miquelon,46200
Saint Vincent and the Grenadines,11500
Samoa,5700
San Marino,59000
Sao Tome and Principe,3200
Saudi Arabia,54500
Senegal,3500
Serbia,15100
Seychelles,29300
Sierra Leone,1600
Singapore,94100
Sint Maarten,66800
Slovakia,33100
Slovenia,34500
Solomon Islands,2200
Somalia,#VALUE!
South Africa,13600
South Sudan,1600
Spain,38400
Sri Lanka,12900
Sudan,4300
Suriname,14900
Sweden,51200
Switzerland,62100
Syria,2900
Taiwan,50500
Tajikistan,3200
Tanzania,3200
Thailand,17900
Timor-Leste,6000
Togo,1700
Tokelau,1000
Tonga,5900
Trinidad and Tobago,31300
Tunisia,11900
Turkey,27000
Turkmenistan,18200
Turks and Caicos Islands,29100
Tuvalu,3800
Uganda,2400
Ukraine,8800
United Arab Emirates,68600
United Kingdom,44300
United States,59800
Uruguay,22400
Uzbekistan,6900
Vanuatu,2700
Venezuela,12500
Vietnam,6900
Virgin Islands,37000
Wallis and Futuna,3800
West Bank,4300
Western Sahara,2500
World,17500
Yemen,2500
Zambia,4000
Zimbabwe,2300
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
