Afghanistan,0.28
Albania,1.2
Algeria,1.83
Andorra,3.33
Angola,0.21
Antigua and Barbuda,2.76
Argentina,3.96
Armenia,2.9
Australia,3.59
Austria,5.14
Azerbaijan,3.45
"Bahamas, The",1.94
Bahrain,0.93
Bangladesh,0.53
Barbados,2.49
Belarus,4.08
Belgium,3.32
Belize,1.13
Benin,0.16
Bhutan,0.37
Bolivia,1.61
Bosnia and Herzegovina,1.89
Botswana,0.37
Brazil,2.15
Brunei,1.77
Bulgaria,3.99
Burkina Faso,0.06
Burma,0.86
Burundi,0.05
Cabo Verde,0.77
Cambodia,0.17
Cameroon,0.09
Canada,2.61
Central African Republic,0.06
Chad,0.05
Chile,1.08
China,1.79
Colombia,2.08
Comoros,0.17
"Congo, Democratic Republic of the",0.09
"Congo, Republic of the",0.12
Cook Islands,1.42
Costa Rica,1.15
Cote d'Ivoire,0.23
Croatia,3.13
Cuba,8.19
Cyprus,1.95
Czechia,4.31
Denmark,4.46
Djibouti,0.22
Dominica,1.08
Dominican Republic,1.56
Ecuador,2.05
Egypt,0.79
El Salvador,1.57
Equatorial Guinea,0.4
Estonia,3.47
Eswatini,0.08
Ethiopia,0.1
Faroe Islands,2.62
Fiji,0.84
Finland,3.81
France,3.23
French Polynesia,2.13
Gabon,0.36
"Gambia, The",0.11
Gaza Strip,2.2
Georgia,5.1
Germany,4.21
Ghana,0.18
Greece,4.59
Greenland,1.87
Grenada,1.45
Guatemala,0.36
Guinea,0.08
Guinea-Bissau,0.2
Guyana,0.8
Haiti,0.23
Honduras,0.31
Hong Kong,1.96
Hungary,3.23
Iceland,3.97
India,0.78
Indonesia,0.38
Iran,1.14
Iraq,0.82
Ireland,3.09
Israel,3.22
Italy,4.09
Jamaica,1.32
Japan,2.41
Jordan,2.34
Kazakhstan,3.25
Kenya,0.2
Kiribati,0.2
"Korea, North",3.67
"Korea, South",2.37
Kuwait,2.58
Kyrgyzstan,1.88
Laos,0.5
Latvia,3.19
Lebanon,2.27
Lesotho,0.07
Liberia,0.04
Libya,2.16
Lithuania,4.34
Luxembourg,3.03
Macau,2.41
Madagascar,0.18
Malawi,0.02
Malaysia,1.51
Maldives,1.04
Mali,0.14
Malta,3.83
Marshall Islands,0.46
Mauritania,0.18
Mauritius,2.54
Mexico,2.25
"Micronesia, Federated States of",0.19
Moldova,3.2
Monaco,6.56
Mongolia,2.89
Montenegro,2.33
Morocco,0.73
Mozambique,0.07
Nauru,1.24
Nepal,0.65
Netherlands,3.51
New Caledonia,2.22
New Zealand,3.03
Nicaragua,1.01
Niger,0.05
Nigeria,0.38
Niue,#VALUE!
North Macedonia,2.87
Northern Mariana Islands,#VALUE!
Norway,4.63
Oman,1.97
Pakistan,0.98
Palau,1.19
Panama,1.57
Papua New Guinea,0.05
Paraguay,1.37
Peru,1.27
Philippines,1.28
Poland,2.4
Portugal,3.34
Puerto Rico,2.89
Qatar,2.78
Romania,2.26
Russia,4.01
Rwanda,0.13
Saint Kitts and Nevis,2.52
Saint Lucia,0.11
Saint Vincent and the Grenadines,0.66
Samoa,0.34
San Marino,6.15
Sao Tome and Principe,#VALUE!
Saudi Arabia,2.39
Senegal,0.07
Serbia,3.13
Seychelles,0.95
Sierra Leone,0.03
Singapore,2.31
Slovakia,2.46
Slovenia,2.81
Solomon Islands,0.2
Somalia,0.02
South Africa,0.91
Spain,4.07
Sri Lanka,0.96
Sudan,0.41
Suriname,1.23
Sweden,5.4
Switzerland,4.24
Syria,1.22
Tajikistan,1.7
Tanzania,0.04
Thailand,0.81
Timor-Leste,0.72
Togo,0.05
Tokelau,2.72
Tonga,0.52
Trinidad and Tobago,2.67
Tunisia,1.27
Turkey,1.76
Turkmenistan,2.22
Tuvalu,0.92
Uganda,0.09
Ukraine,3.01
United Arab Emirates,2.39
United Kingdom,2.81
United States,2.59
Uruguay,5.05
Uzbekistan,2.37
Vanuatu,0.17
Vietnam,0.82
Wallis and Futuna,#VALUE!
West Bank,1.3
Yemen,0.31
Zambia,0.09
Zimbabwe,0.08
