 Afghanistan,31.7
 Albania,97.2
 Algeria,75.1
 American Samoa,97.3
 Andorra,N/A
 Angola,66
 Anguilla,95.4
 Antigua and Barbuda,98.9
 Argentina,99.1
 Armenia,99.7
 Aruba,96.8
 Australia,N/A
 Austria,N/A
 Azerbaijan,99.8
 Bahamas,N/A
 Bahrain,86.5
 Bangladesh,73.9
 Barbados,99.6
 Belarus,99.6
 Belgium,N/A
 Belize,70.3
 Benin,32.9
 Bermuda,N/A
 Bhutan,57
 Bolivia,92.5
 Bonaire,N/A
 Bosnia and Herzegovina,97
 Botswana,87.7
 Brazil,92
 British Virgin Islands,N/A
 Brunei Darussalam,96.1
 Bulgaria,98.4
 Burkina Faso,34.6
 Burundi,61.6
 Cabo Verde,86.8
 Cambodia,80.5
 Cameroon,71.3
 Canada,N/A
 Cayman Islands,98.9
 Central African Republic,36.8
 Chad,22.3
 Chile,96.9
 China,96.8[7]
 Hong Kong,N/A
 Macao,96.5
 Colombia,94.7
 Comoros,49.2
 Congo,79.3
" Congo, Dem. Rep.",77
 Cook Islands,N/A
 Costa Rica,97.4
 Croatia,99.1
 Cuba,99.8
 Curaçao,N/A
 Cyprus,98.7
 Czech Republic,N/A
 Côte d'Ivoire,43.9
 Denmark,N/A
 Djibouti,N/A
 Dominica,N/A
 Dominican Republic,93.8
 Ecuador,94.4
 Egypt,71.2
 El Salvador,88.5
 Equatorial Guinea,95
 Eritrea,64.7
 Estonia,99.9
 Eswatini,83.1
 Ethiopia,39
 Faeroe Islands,N/A
 Falkland Islands,N/A
 Fiji,N/A
 Finland,N/A
 France,N/A
 French Guiana,82.9
 French Polynesia,N/A
 Gabon,82.3
 Gambia,42
 Georgia,99.6
 Germany,N/A
 Ghana,71.5
 Gibraltar,N/A
 Greece,97.4
 Greenland,N/A
 Grenada,98.6
 Guadeloupe,96
 Guam,99.4
 Guatemala,81.3
 Guinea,32
 Guinea-Bissau,45.6
 Guyana,85.6
 Haiti,48.7
  Holy See,N/A
 Honduras,89
 Hungary,99.1
 Iceland,N/A
 India,74.4
 Indonesia,95.4
 Iran,85.5
 Iraq,43.7
 Ireland,N/A
 Isle of Man,N/A
 Israel,91.8
 Italy,98.8
 Jamaica,88.1
 Japan,N/A
 Jordan,97.9
 Kazakhstan,99.8
 Kenya,78.7
 Kiribati,N/A
 North Korea,100
" Korea, Rep.",N/A
 Kuwait,96.1
 Kyrgyzstan,99.2
 Laos,84.7
 Latvia,99.9
 Lebanon,91.2
 Lesotho,76.6
 Liberia,42.9
 Libya,86.1
 Liechtenstein,N/A
 Lithuania,99.8
 Luxembourg,N/A
 Madagascar,71.6
 Malawi,62.1
 Malaysia,89.5
 Maldives,98.6
 Mali,33.1
 Malta,93.3
 Marshall Islands,98.3
 Martinique,96.9
 Mauritania,45.5
 Mauritius,93.2
 Mayotte,N/A
 Mexico,94.9
 Micronesia,N/A
 Monaco,N/A
 Mongolia,98.3
 Montenegro,98.4
 Montserrat,N/A
 Morocco,69.4
 Mozambique,56
 Myanmar,75.6
 Namibia,88.3
 Nauru,N/A
   Nepal,59.6
 Netherlands,N/A
 New Caledonia,97.8
 New Zealand,N/A
 Nicaragua,78
 Niger,30.6
 Nigeria,51.1
 Niue,N/A
 Northern Mariana Islands,N/A
 Norway,N/A
 Oman,96.1
 Pakistan,59.1
 Palau,96.6
 Palestine,96.9
 Panama,94.1
 Papua New Guinea,61.6
 Paraguay,94.7
 Peru,94.1
 Philippines,96.4
 Pitcairn,N/A
 Poland,98.7
 Portugal,94.5
 Puerto Rico,92.4
 Qatar,89
 Republic of Moldova,99.1
 Romania,98.6
 Russian Federation,99.7
 Rwanda,70.8
 Réunion,78.6
 Saint Helena,96
 Saint Kitts and Nevis,N/A
 Saint Lucia,N/A
 Saint Pierre and Miquelon,99.3
 Saint-Martin,N/A
 Samoa,99
 San Marino,N/A
 Sao Tome and Principe,90.1
 Saudi Arabia,94.4
 Senegal,51.9
 Serbia,98.8
 Seychelles,94
 Sierra Leone,32.4
 Singapore,97
 Sint Maarten,N/A
 Slovakia,N/A
 Slovenia,99.7
 Solomon Islands,76.6
 Somalia,N/A
 South Africa,94.4
 South Sudan,26.8
 Spain,98.3
 Sri Lanka,91.9
 Saint Vincent and the Grenadines,95.6
 Sudan,53.5
 Suriname,92.9
 Svalbard and Jan Mayen,N/A
 Sweden,N/A
  Switzerland,N/A
 Syrian Arab Republic,80.8
 Macedonia,96.1
 Tajikistan,99.8
 Tanzania,77.9
 Thailand,92.9
 Timor-Leste,58.3
 Togo,63.7
 Tokelau,N/A
 Tonga,99.4
 Trinidad and Tobago,96.9
 Tunisia,79
 Turkey,96.2
 Turkmenistan,99.7
 Turks and Caicos Islands,N/A
 Tuvalu,N/A
 Uganda,70.2
 Ukraine,100
 United Arab Emirates,90
 United Kingdom,N/A
 United States,N/A
 Uruguay,98.6
 Uzbekistan,100
 Vanuatu,84.7
 Venezuela,97.1
 Viet Nam,93.5
 United States Virgin Islands,N/A
 Wallis and Futuna,N/A
 Western Sahara,N/A
 Yemen,54.1
 Zambia,83
 Zimbabwe,88.7
