 Afghanistan,62.3
 Albania,8.8
 Algeria,23.5
 Andorra,2.9
 Angola,77.2
 Antigua and Barbuda,6.4
 Argentina,9.9
 Armenia,12.4
 Australia,3.7
 Austria,3.5
 Azerbaijan,21.5
" Bahamas, The",10.2
 Bahrain,7.1
 Bangladesh,30.2
 Barbados,12.2
 Belarus,3.4
 Belgium,3.7
 Belize,13
 Benin,93
 Bhutan,29.7
 Bolivia,26.8
 Bosnia and Herzegovina,5.8
 Botswana,36.5
 Brazil,14.4
 Brunei,11.6
 Bulgaria,7.1
 Burkina Faso,76.4
 Burundi,58.5
 Cape Verde,19.5
 Cambodia,28
 Cameroon,76.1
 Canada,5
 Central African Republic,116.5
 Chad,119
 Chile,7.2
 China,8.6
 Colombia,14.2
 Comoros,67.5
" Congo, Democratic Republic of the",88.1
" Congo, Republic of the",50.1
 Costa Rica,8.8
 Cote d'Ivoire,80.9
 Croatia,4.7
 Cuba,5
 Cyprus,2.4
 Czech Republic,3.4
 Denmark,4.2
 Djibouti,59.3
 Dominica,35.7
 Dominican Republic,28.8
 Ecuador,14.2
 Egypt,21.2
 El Salvador,13.7
 Equatorial Guinea,85.3
 Eritrea,41.9
 Estonia,2.6
 Eswatini (Swaziland),54.4
 Ethiopia,55.2
 Fiji,25.6
 Finland,1.7
 France,4
 Gabon,44.8
" Gambia, The",58.4
 Georgia,9.8
 Germany,3.7
 Ghana,47.9
 Greece,4.5
 Grenada,15.2
 Guatemala,26.2
 Guinea-Bissau,81.5
 Guinea,100.8
 Guyana,30.1
 Haiti,64.8
 Honduras,17.6
 Hungary,4.3
 Iceland,2
 India,36.6
 Indonesia,25
 Iran,14.4
 Iraq,26.7
 Ireland,3.7
 Israel,3.7
 Italy,3
 Jamaica,14.4
 Japan,2.5
 Jordan,16.2
 Kazakhstan,9.9
 Kenya,41.1
 Kiribati,52.5
" Korea, North",18.2
" Korea, South",3.2
 Kuwait,7.9
 Kyrgyzstan,18.9
 Laos,47.3
 Latvia,3.9
 Lebanon,7.4
 Lesotho,81.1
 Liberia,70.9
 Libya,12
 Lithuania,4
 Luxembourg,2.4
 Madagascar,53.6
 Malawi,49.7
 Malaysia,7.8
 Maldives,8.6
 Mali,97.8
 Malta,7
 Marshall Islands,33.1
 Mauritania,75.7
 Mauritius,15.5
 Mexico,12.7
" Micronesia, Federated States of",30.8
 Moldova,15.8
 Monaco,3.2
 Mongolia,16.3
 Morocco,22.4
 Mozambique,73.2
 Myanmar,46.2
 Namibia,39.6
 Nauru,31.8
   Nepal,32.2
 Netherlands,3.9
 New Zealand,5.7
 Nicaragua,18.3
 Nigeria,119.9
 Niger,83.7
 Norway,2.5
 Oman,11.4
 Pakistan,69.3
 Palau,17.9
 Panama,15.3
 Papua New Guinea,47.8
 Paraguay,20.2
 Peru,14.3
 Philippines,28.4
 Poland,4.4
 Portugal,3.7
 Qatar,6.8
 Romania,7.3
 Russia,7.2
 Rwanda,35.3
 Saint Helena (UK),13.7
 Saint Kitts and Nevis,12
 Saint Lucia,16.6
 Saint Vincent and the Grenadines,16.4
 Samoa,15.8
 San Marino,2
 Sao Tome and Principe,31.2
 Saudi Arabia,7.1
 Senegal,43.6
 Serbia,5.5
 Seychelles,14.5
 Sierra Leone,105.1
 Singapore,2.8
 Slovakia,5.6
 Slovenia,2.1
 Solomon Islands,20
 Somalia,121.5
 South Africa,33.8
 South Sudan,98.6
 Spain,3
 Sri Lanka,7.4
 Sudan,60.5
 Suriname,18.9
 Sweden,2.7
  Switzerland,4.1
 Syria,16.7
 Tajikistan,34.8
 Tanzania,53
 Thailand,9.1
 Timor-Leste,45.8
 Togo,69.8
 Tonga,15.6
 Trinidad and Tobago,18.3
 Tunisia,17
 Turkey,10.6
 Turkmenistan,45.8
 Tuvalu,24.4
 Uganda,46.4
 Ukraine,8.7
 United Arab Emirates,7.6
 United Kingdom,4.3
 United States,6.5
 Uruguay,7.6
 Uzbekistan,21.4
 Vanuatu,26.4
 Venezuela,24.5
 Vietnam,20.7
 West Bank,20.3
 Yemen,55
 Zambia,57.8
 Zimbabwe,46.2
