Afghanistan,26
Albania,62.1
Algeria,73.7
American Samoa,87.2
Andorra,87.9
Angola,66.8
Anguilla,100
Antigua and Barbuda,24.4
Argentina,92.1
Armenia,63.3
Aruba,43.7
Australia,86.2
Austria,58.7
Azerbaijan,56.4
"Bahamas, The",83.2
Bahrain,89.5
Bangladesh,38.2
Barbados,31.2
Belarus,79.5
Belgium,98.1
Belize,46
Benin,48.4
Bermuda,100
Bhutan,42.3
Bolivia,70.1
Bosnia and Herzegovina,49
Botswana,70.9
Brazil,87.1
British Virgin Islands,48.5
Brunei,78.3
Bulgaria,75.7
Burkina Faso,30.6
Burma,31.1
Burundi,13.7
Cabo Verde,66.7
Cambodia,24.2
Cameroon,57.6
Canada,81.6
Cayman Islands,100
Central African Republic,42.2
Chad,23.5
Chile,87.7
China,61.4
Colombia,81.4
Comoros,29.4
"Congo, Democratic Republic of the",45.6
"Congo, Republic of the",67.8
Cook Islands,75.5
Costa Rica,80.8
Cote d'Ivoire,51.7
Croatia,57.6
Cuba,77.2
Curacao,89.1
Cyprus,66.8
Czechia,74.1
Denmark,88.1
Djibouti,78.1
Dominica,71.1
Dominican Republic,82.5
Ecuador,64.2
Egypt,42.8
El Salvador,73.4
Equatorial Guinea,73.1
Eritrea,41.3
Estonia,69.2
Eswatini,24.2
Ethiopia,21.7
Falkland Islands (Islas Malvinas),78.5
Faroe Islands,42.4
Fiji,57.2
Finland,85.5
France,81
French Polynesia,62
Gabon,90.1
"Gambia, The",62.6
Gaza Strip,76.7
Georgia,59.5
Germany,77.5
Ghana,57.3
Gibraltar,100
Greece,79.7
Greenland,87.3
Grenada,36.5
Guam,94.9
Guatemala,51.8
Guernsey,31
Guinea,36.5
Guinea-Bissau,44.2
Guyana,26.8
Haiti,57.1
Holy See (Vatican City),100
Honduras,58.4
Hong Kong,100
Hungary,71.9
Iceland,93.9
India,34.9
Indonesia,56.6
Iran,75.9
Iraq,70.9
Ireland,63.7
Isle of Man,52.9
Israel,92.6
Italy,71
Jamaica,56.3
Japan,91.8
Jersey,31
Jordan,91.4
Kazakhstan,57.7
Kenya,28
Kiribati,55.6
"Korea, North",62.4
"Korea, South",81.4
Kuwait,100
Kyrgyzstan,36.9
Laos,36.3
Latvia,68.3
Lebanon,88.9
Lesotho,29
Liberia,52.1
Libya,80.7
Liechtenstein,14.4
Lithuania,68
Luxembourg,91.5
Macau,100
Madagascar,38.5
Malawi,17.4
Malaysia,77.2
Maldives,40.7
Mali,43.9
Malta,94.7
Marshall Islands,77.8
Mauritania,55.3
Mauritius,40.8
Mexico,80.7
"Micronesia, Federated States of",22.9
Moldova,42.8
Monaco,100
Mongolia,68.7
Montenegro,67.5
Montserrat,9.1
Morocco,63.5
Mozambique,37.1
Namibia,52
Nauru,100
Nepal,20.6
Netherlands,92.2
New Caledonia,71.5
New Zealand,86.7
Nicaragua,59
Niger,16.6
Nigeria,52
Niue,46.2
North Macedonia,58.5
Northern Mariana Islands,91.8
Norway,83
Oman,86.3
Pakistan,37.2
Palau,81
Panama,68.4
Papua New Guinea,13.3
Paraguay,62.2
Peru,78.3
Philippines,47.4
Pitcairn Islands,0
Poland,60
Portugal,66.3
Puerto Rico,93.6
Qatar,99.2
Romania,54.2
Russia,74.8
Rwanda,17.4
"Saint Helena, Ascension, and Tristan da Cunha",40.1
Saint Kitts and Nevis,30.8
Saint Lucia,18.8
Saint Pierre and Miquelon,90
Saint Vincent and the Grenadines,53
Samoa,17.9
San Marino,97.5
Sao Tome and Principe,74.4
Saudi Arabia,84.3
Senegal,48.1
Serbia,56.4
Seychelles,57.5
Sierra Leone,42.9
Singapore,100
Sint Maarten,100
Slovakia,53.8
Slovenia,55.1
Solomon Islands,24.7
Somalia,46.1
South Africa,67.4
South Sudan,20.2
Spain,80.8
Sri Lanka,18.7
Sudan,35.3
Suriname,66.1
Sweden,88
Switzerland,73.9
Syria,55.5
Taiwan,78.9
Tajikistan,27.5
Tanzania,35.2
Thailand,51.4
Timor-Leste,31.3
Togo,42.8
Tokelau,#VALUE!
Tonga,23.1
Trinidad and Tobago,53.2
Tunisia,69.6
Turkey,76.1
Turkmenistan,52.5
Turks and Caicos Islands,93.6
Tuvalu,64
Uganda,25
Ukraine,69.6
United Arab Emirates,87
United Kingdom,83.9
United States,82.7
Uruguay,95.5
Uzbekistan,50.4
Vanuatu,25.5
Venezuela,88.3
Vietnam,37.3
Virgin Islands,95.9
Wallis and Futuna,0
West Bank,76.7
Western Sahara,86.8
World,56.2
Yemen,37.9
Zambia,44.6
Zimbabwe,32.2
